VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y, rawtex1.x, rawtex1.y
0, 1150952, -0.60359, -2.22007, -0.22109, 0.69804, 0.69804, 0.69804, 1.00, 0.52396, 0.82919, 0.52396, 0.82919
1, 1150953, -2.66328, -2.00594, -0.60933, 0.69804, 0.69804, 0.69804, 1.00, 0.4033, 0.81145, 0.4033, 0.81145
2, 1150954, -2.93846, -1.73064, -0.60395, 0.69804, 0.69804, 0.69804, 1.00, 0.38718, 0.78863, 0.38718, 0.78863
3, 1150955, -2.66328, -2.00594, -0.60933, 0.69804, 0.69804, 0.69804, 1.00, 0.4033, 0.81145, 0.4033, 0.81145
4, 1150956, -3.0534, -1.97463, -0.06186, 0.69804, 0.69804, 0.69804, 1.00, 0.38045, 0.80885, 0.38045, 0.80885
5, 1150957, -2.66328, -2.00594, -0.60933, 0.69804, 0.69804, 0.69804, 1.00, 0.4033, 0.81145, 0.4033, 0.81145
6, 1150958, -2.74684, -2.28132, -0.07213, 0.69804, 0.69804, 0.69804, 1.00, 0.3984, 0.83427, 0.3984, 0.83427
7, 1150959, -0.60359, -2.22007, -0.22109, 0.69804, 0.69804, 0.69804, 1.00, 0.52396, 0.82919, 0.52396, 0.82919
8, 1150960, -0.60489, -2.51986, 0.31653, 0.69804, 0.69804, 0.69804, 1.00, 0.52389, 0.85404, 0.52389, 0.85404
9, 1150961, 0.71119, -2.46478, -0.26679, 0.69804, 0.69804, 0.69804, 1.00, 0.60099, 0.84947, 0.60099, 0.84947
10, 1150962, 0.85978, -2.79247, 0.24697, 0.69804, 0.69804, 0.69804, 1.00, 0.60969, 0.87663, 0.60969, 0.87663
11, 1150963, 1.44502, -2.74009, -0.44526, 0.69804, 0.69804, 0.69804, 1.00, 0.64398, 0.87229, 0.64398, 0.87229
12, 1150964, 1.61751, -3.01948, 0.0284, 0.69804, 0.69804, 0.69804, 1.00, 0.65408, 0.89545, 0.65408, 0.89545
13, 1150965, 1.72021, -2.25066, -0.25427, 0.69804, 0.69804, 0.69804, 1.00, 0.6601, 0.83173, 0.6601, 0.83173
14, 1150966, 2.09389, -2.70068, 0.24015, 0.69804, 0.69804, 0.69804, 1.00, 0.68199, 0.86903, 0.68199, 0.86903
15, 1150967, 2.39289, -2.03653, -0.28323, 0.69804, 0.69804, 0.69804, 1.00, 0.69951, 0.81398, 0.69951, 0.81398
16, 1150968, 2.73319, -2.43769, 0.18837, 0.69804, 0.69804, 0.69804, 1.00, 0.71944, 0.84723, 0.71944, 0.84723
17, 1150969, 3.24903, -2.28125, -0.61033, 0.69804, 0.69804, 0.69804, 1.00, 0.74966, 0.83426, 0.74966, 0.83426
18, 1150970, 3.68693, -2.58801, -0.20922, 0.69804, 0.69804, 0.69804, 1.00, 0.77531, 0.85969, 0.77531, 0.85969
19, 1150971, 3.12673, -1.73064, -0.35153, 0.69804, 0.69804, 0.69804, 1.00, 0.7425, 0.78863, 0.7425, 0.78863
20, 1150972, 3.78303, -1.9624, 0.08641, 0.69804, 0.69804, 0.69804, 1.00, 0.78094, 0.80784, 0.78094, 0.80784
21, 1150973, 3.87671, -1.0391, -0.37006, 0.69804, 0.69804, 0.69804, 1.00, 0.78643, 0.73132, 0.78643, 0.73132
22, 1150974, 4.38616, -1.20426, 0.03913, 0.69804, 0.69804, 0.69804, 1.00, 0.81628, 0.745, 0.81628, 0.745
23, 1150975, 3.55472, -0.57931, -0.12037, 0.69804, 0.69804, 0.69804, 1.00, 0.76757, 0.69321, 0.76757, 0.69321
24, 1150976, 4.02747, -0.69205, 0.33296, 0.69804, 0.69804, 0.69804, 1.00, 0.79526, 0.70255, 0.79526, 0.70255
25, 1150977, 3.95406, -0.16545, -0.17186, 0.69804, 0.69804, 0.69804, 1.00, 0.79096, 0.65891, 0.79096, 0.65891
26, 1150978, 4.47233, -0.23101, 0.25782, 0.69804, 0.69804, 0.69804, 1.00, 0.82133, 0.66434, 0.82133, 0.66434
27, 1150979, 4.57638, 0.04504, -0.3954, 0.69804, 0.69804, 0.69804, 1.00, 0.82742, 0.64147, 0.82742, 0.64147
28, 1150980, 5.1656, 0.00347, -0.02021, 0.69804, 0.69804, 0.69804, 1.00, 0.86194, 0.64491, 0.86194, 0.64491
29, 1150981, 4.93588, 0.48643, -0.49231, 0.69804, 0.69804, 0.69804, 1.00, 0.84848, 0.60488, 0.84848, 0.60488
30, 1150982, 5.56608, 0.34743, -0.14579, 0.69804, 0.69804, 0.69804, 1.00, 0.8854, 0.6164, 0.8854, 0.6164
31, 1150983, 4.67389, 0.44901, -0.37236, 0.69804, 0.69804, 0.69804, 1.00, 0.83313, 0.60798, 0.83313, 0.60798
32, 1150984, 5.27422, 0.67076, -0.00067, 0.69804, 0.69804, 0.69804, 1.00, 0.8683, 0.58961, 0.8683, 0.58961
33, 1150985, 4.99859, 1.46066, -0.43298, 0.69804, 0.69804, 0.69804, 1.00, 0.85216, 0.52414, 0.85216, 0.52414
34, 1150986, 5.63594, 1.58047, -0.09253, 0.69804, 0.69804, 0.69804, 1.00, 0.88949, 0.51421, 0.88949, 0.51421
35, 1150987, 5.03252, 2.65061, -0.47338, 0.69804, 0.69804, 0.69804, 1.00, 0.85414, 0.42552, 0.85414, 0.42552
36, 1150988, 5.67373, 2.90607, -0.14428, 0.69804, 0.69804, 0.69804, 1.00, 0.89171, 0.40435, 0.89171, 0.40435
37, 1150989, 3.64146, 4.36771, -0.18262, 0.69804, 0.69804, 0.69804, 1.00, 0.77265, 0.28321, 0.77265, 0.28321
38, 1150990, 4.1241, 4.81893, 0.25017, 0.69804, 0.69804, 0.69804, 1.00, 0.80093, 0.24581, 0.80093, 0.24581
39, 1150991, 2.28214, 5.52197, -0.17049, 0.69804, 0.69804, 0.69804, 1.00, 0.69302, 0.18755, 0.69302, 0.18755
40, 1150992, 2.60981, 6.10477, 0.38133, 0.69804, 0.69804, 0.69804, 1.00, 0.71221, 0.13924, 0.71221, 0.13924
41, 1150993, 2.51446, 4.26111, 0.16066, 0.69804, 0.69804, 0.69804, 1.00, 0.70663, 0.29204, 0.70663, 0.29204
42, 1150994, 2.3781, 4.32856, 0.87364, 0.69804, 0.69804, 0.69804, 1.00, 0.69864, 0.28645, 0.69864, 0.28645
43, 1150995, 2.08913, 3.45157, 0.41544, 0.69804, 0.69804, 0.69804, 1.00, 0.68171, 0.35914, 0.68171, 0.35914
44, 1150996, 1.9786, 3.66456, 1.08508, 0.69804, 0.69804, 0.69804, 1.00, 0.67524, 0.34148, 0.67524, 0.34148
45, 1150997, 0.7461, 2.58684, 0.67144, 0.69804, 0.69804, 0.69804, 1.00, 0.60303, 0.4308, 0.60303, 0.4308
46, 1150998, 0.72029, 2.83504, 1.31706, 0.69804, 0.69804, 0.69804, 1.00, 0.60152, 0.41023, 0.60152, 0.41023
47, 1150999, -2.52714, 1.40842, 0.19038, 0.69804, 0.69804, 0.69804, 1.00, 0.41128, 0.52847, 0.41128, 0.52847
48, 1151000, -2.59518, 1.52228, 0.82614, 0.69804, 0.69804, 0.69804, 1.00, 0.40729, 0.51903, 0.40729, 0.51903
49, 1151001, -4.0704, 1.32831, -0.48736, 0.69804, 0.69804, 0.69804, 1.00, 0.32087, 0.53511, 0.32087, 0.53511
50, 1151002, -4.06015, 1.43303, 0.1903, 0.69804, 0.69804, 0.69804, 1.00, 0.32147, 0.52643, 0.32147, 0.52643
51, 1151003, -4.566, 1.6254, -0.74203, 0.69804, 0.69804, 0.69804, 1.00, 0.29183, 0.51049, 0.29183, 0.51049
52, 1151004, -4.58682, 1.84026, -0.07173, 0.69804, 0.69804, 0.69804, 1.00, 0.29061, 0.49268, 0.29061, 0.49268
53, 1151005, -5.53708, 1.11418, -1.30809, 0.69804, 0.69804, 0.69804, 1.00, 0.23494, 0.55286, 0.23494, 0.55286
54, 1151006, -5.23642, 1.83006, -0.43137, 0.69804, 0.69804, 0.69804, 1.00, 0.25256, 0.49352, 0.25256, 0.49352
55, 1151007, -5.93472, 2.7966, -1.58097, 0.69804, 0.69804, 0.69804, 1.00, 0.21165, 0.41342, 0.21165, 0.41342
56, 1151008, -6.1652, 3.70396, -1.10305, 0.69804, 0.69804, 0.69804, 1.00, 0.19815, 0.33822, 0.19815, 0.33822
57, 1151009, -6.79979, -0.5446, -2.21963, 0.69804, 0.69804, 0.69804, 1.00, 0.16097, 0.69033, 0.16097, 0.69033
58, 1151010, -7.50745, -0.65338, -1.92936, 0.69804, 0.69804, 0.69804, 1.00, 0.11951, 0.69935, 0.11951, 0.69935
59, 1151011, -6.66878, -1.54663, -2.33828, 0.69804, 0.69804, 0.69804, 1.00, 0.16865, 0.77338, 0.16865, 0.77338
60, 1151012, -7.36151, -1.76965, -2.04613, 0.69804, 0.69804, 0.69804, 1.00, 0.12806, 0.79186, 0.12806, 0.79186
61, 1151013, -6.33176, -2.64552, -2.44663, 0.69804, 0.69804, 0.69804, 1.00, 0.18839, 0.86445, 0.18839, 0.86445
62, 1151014, -6.94562, -3.23649, -2.15261, 0.69804, 0.69804, 0.69804, 1.00, 0.15243, 0.91343, 0.15243, 0.91343
63, 1151015, -5.51995, -1.67779, -1.76662, 0.69804, 0.69804, 0.69804, 1.00, 0.23595, 0.78425, 0.23595, 0.78425
64, 1151016, -5.52241, -2.27978, -1.14348, 0.69804, 0.69804, 0.69804, 1.00, 0.2358, 0.83414, 0.2358, 0.83414
65, 1151017, -4.37556, -1.27179, -1.07538, 0.69804, 0.69804, 0.69804, 1.00, 0.30299, 0.7506, 0.30299, 0.7506
66, 1151018, -4.57536, -1.62527, -0.46293, 0.69804, 0.69804, 0.69804, 1.00, 0.29128, 0.7799, 0.29128, 0.7799
67, 1151019, -3.76403, -1.51651, -0.86534, 0.69804, 0.69804, 0.69804, 1.00, 0.33881, 0.77088, 0.33881, 0.77088
68, 1151020, -4.14835, -1.89788, -0.35093, 0.69804, 0.69804, 0.69804, 1.00, 0.3163, 0.80249, 0.3163, 0.80249
69, 1151021, -3.45826, -2.00594, -0.90371, 0.69804, 0.69804, 0.69804, 1.00, 0.35673, 0.81145, 0.35673, 0.81145
70, 1151022, -3.63245, -2.28132, -0.39664, 0.69804, 0.69804, 0.69804, 1.00, 0.34652, 0.83427, 0.34652, 0.83427
71, 1151023, -2.93846, -1.73064, -0.60395, 0.69804, 0.69804, 0.69804, 1.00, 0.38718, 0.78863, 0.38718, 0.78863
72, 1151024, -3.63245, -2.28132, -0.39664, 0.69804, 0.69804, 0.69804, 1.00, 0.34652, 0.83427, 0.34652, 0.83427
73, 1151025, -3.0534, -1.97463, -0.06186, 0.69804, 0.69804, 0.69804, 1.00, 0.38045, 0.80885, 0.38045, 0.80885
74, 1151026, -4.10889, -3.46977, 0.57946, 0.69804, 0.69804, 0.69804, 0.00, 0.33389, 0.88364, 0.33389, 0.88364
75, 1151027, -3.0534, -1.97463, -0.06186, 0.69804, 0.69804, 0.69804, 1.00, 0.38045, 0.80885, 0.38045, 0.80885
76, 1151028, -3.50057, -3.2708, 0.99942, 0.69804, 0.69804, 0.69804, 0.00, 0.36953, 0.86715, 0.36953, 0.86715
77, 1151029, -2.74684, -2.28132, -0.07213, 0.69804, 0.69804, 0.69804, 1.00, 0.3984, 0.83427, 0.3984, 0.83427
78, 1151030, -3.10358, -3.66796, 0.97216, 0.69804, 0.69804, 0.69804, 0.00, 0.39279, 0.90006, 0.39279, 0.90006
79, 1151031, -0.60489, -2.51986, 0.31653, 0.69804, 0.69804, 0.69804, 1.00, 0.52389, 0.85404, 0.52389, 0.85404
80, 1151032, -0.60863, -3.3841, 1.30086, 0.69804, 0.69804, 0.69804, 0.00, 0.52367, 0.92567, 0.52367, 0.92567
81, 1151033, 0.85978, -2.79247, 0.24697, 0.69804, 0.69804, 0.69804, 1.00, 0.60969, 0.87663, 0.60969, 0.87663
82, 1151034, 1.28813, -3.73714, 1.15539, 0.69804, 0.69804, 0.69804, 0.00, 0.63479, 0.95493, 0.63479, 0.95493
83, 1151035, 1.61751, -3.01948, 0.0284, 0.69804, 0.69804, 0.69804, 1.00, 0.65408, 0.89545, 0.65408, 0.89545
84, 1151036, 2.14759, -3.91519, 0.82718, 0.69804, 0.69804, 0.69804, 0.00, 0.68514, 0.96968, 0.68514, 0.96968
85, 1151037, 2.09389, -2.70068, 0.24015, 0.69804, 0.69804, 0.69804, 1.00, 0.68199, 0.86903, 0.68199, 0.86903
86, 1151038, 2.85384, -3.57498, 1.07468, 0.69804, 0.69804, 0.69804, 0.00, 0.72651, 0.94149, 0.72651, 0.94149
87, 1151039, 2.73319, -2.43769, 0.18837, 0.69804, 0.69804, 0.69804, 1.00, 0.71944, 0.84723, 0.71944, 0.84723
88, 1151040, 3.71422, -3.24162, 0.94645, 0.69804, 0.69804, 0.69804, 0.00, 0.77691, 0.91386, 0.77691, 0.91386
89, 1151041, 3.68693, -2.58801, -0.20922, 0.69804, 0.69804, 0.69804, 1.00, 0.77531, 0.85969, 0.77531, 0.85969
90, 1151042, 4.84972, -3.33293, 0.3738, 0.69804, 0.69804, 0.69804, 0.00, 0.84343, 0.92143, 0.84343, 0.92143
91, 1151043, 3.78303, -1.9624, 0.08641, 0.69804, 0.69804, 0.69804, 1.00, 0.78094, 0.80784, 0.78094, 0.80784
92, 1151044, 5.00523, -2.6658, 0.74058, 0.69804, 0.69804, 0.69804, 0.00, 0.85254, 0.86613, 0.85254, 0.86613
93, 1151045, 4.38616, -1.20426, 0.03913, 0.69804, 0.69804, 0.69804, 1.00, 0.81628, 0.745, 0.81628, 0.745
94, 1151046, 5.85484, -1.68039, 0.60648, 0.69804, 0.69804, 0.69804, 0.00, 0.90232, 0.78447, 0.90232, 0.78447
95, 1151047, 4.02747, -0.69205, 0.33296, 0.69804, 0.69804, 0.69804, 1.00, 0.79526, 0.70255, 0.79526, 0.70255
96, 1151048, 5.39032, -1.01708, 1.01637, 0.69804, 0.69804, 0.69804, 0.00, 0.8751, 0.72949, 0.8751, 0.72949
97, 1151049, 4.47233, -0.23101, 0.25782, 0.69804, 0.69804, 0.69804, 1.00, 0.82133, 0.66434, 0.82133, 0.66434
98, 1151050, 5.96642, -0.42002, 0.87786, 0.69804, 0.69804, 0.69804, 0.00, 0.90885, 0.68001, 0.90885, 0.68001
99, 1151051, 5.1656, 0.00347, -0.02021, 0.69804, 0.69804, 0.69804, 1.00, 0.86194, 0.64491, 0.86194, 0.64491
100, 1151052, 6.86421, -0.11637, 0.46643, 0.69804, 0.69804, 0.69804, 0.00, 0.96145, 0.65484, 0.96145, 0.65484
101, 1151053, 5.56608, 0.34743, -0.14579, 0.69804, 0.69804, 0.69804, 1.00, 0.8854, 0.6164, 0.8854, 0.6164
102, 1151054, 7.38284, 0.41611, 0.27904, 0.69804, 0.69804, 0.69804, 0.00, 0.99183, 0.61071, 0.99183, 0.61071
103, 1151055, 5.27422, 0.67076, -0.00067, 0.69804, 0.69804, 0.69804, 1.00, 0.8683, 0.58961, 0.8683, 0.58961
104, 1151056, 7.22215, 0.82274, 0.47974, 0.69804, 0.69804, 0.69804, 0.00, 0.98242, 0.57701, 0.98242, 0.57701
105, 1151057, 5.63594, 1.58047, -0.09253, 0.69804, 0.69804, 0.69804, 1.00, 0.88949, 0.51421, 0.88949, 0.51421
106, 1151058, 7.47331, 1.92587, 0.32678, 0.69804, 0.69804, 0.69804, 0.00, 0.99713, 0.48558, 0.99713, 0.48558
107, 1151059, 5.67373, 2.90607, -0.14428, 0.69804, 0.69804, 0.69804, 1.00, 0.89171, 0.40435, 0.89171, 0.40435
108, 1151060, 7.52226, 3.64253, 0.32501, 0.69804, 0.69804, 0.69804, 0.00, 1.00, 0.34331, 1.00, 0.34331
109, 1151061, 4.1241, 4.81893, 0.25017, 0.69804, 0.69804, 0.69804, 1.00, 0.80093, 0.24581, 0.80093, 0.24581
110, 1151062, 5.51545, 6.1197, 1.00434, 0.69804, 0.69804, 0.69804, 0.00, 0.88244, 0.13801, 0.88244, 0.13801
111, 1151063, 2.60981, 6.10477, 0.38133, 0.69804, 0.69804, 0.69804, 1.00, 0.71221, 0.13924, 0.71221, 0.13924
112, 1151064, 3.08141, 8.60646, 1.15886, 0.69804, 0.69804, 0.69804, 0.00, 0.76755, 0.00, 0.76755, 0.00
113, 1151065, 2.3781, 4.32856, 0.87364, 0.69804, 0.69804, 0.69804, 1.00, 0.69864, 0.28645, 0.69864, 0.28645
114, 1151066, 1.40428, 6.59015, 2.35274, 0.69804, 0.69804, 0.69804, 0.00, 0.64159, 0.18155, 0.64159, 0.18155
115, 1151067, 1.9786, 3.66456, 1.08508, 0.69804, 0.69804, 0.69804, 1.00, 0.67524, 0.34148, 0.67524, 0.34148
116, 1151068, 1.14199, 5.2729, 2.59028, 0.69804, 0.69804, 0.69804, 0.00, 0.64373, 0.27834, 0.64373, 0.27834
117, 1151069, 0.72029, 2.83504, 1.31706, 0.69804, 0.69804, 0.69804, 1.00, 0.60152, 0.41023, 0.60152, 0.41023
118, 1151070, 0.71419, 4.78664, 2.71164, 0.69804, 0.69804, 0.69804, 0.00, 0.60116, 0.33102, 0.60116, 0.33102
119, 1151071, -2.59518, 1.52228, 0.82614, 0.69804, 0.69804, 0.69804, 1.00, 0.40729, 0.51903, 0.40729, 0.51903
120, 1151072, -2.72263, 2.99511, 2.18194, 0.69804, 0.69804, 0.69804, 0.00, 0.39982, 0.47125, 0.39982, 0.47125
121, 1151073, -4.06015, 1.43303, 0.1903, 0.69804, 0.69804, 0.69804, 1.00, 0.32147, 0.52643, 0.32147, 0.52643
122, 1151074, -4.03378, 2.98122, 1.63293, 0.69804, 0.69804, 0.69804, 0.00, 0.32301, 0.4724, 0.32301, 0.4724
123, 1151075, -4.58682, 1.84026, -0.07173, 0.69804, 0.69804, 0.69804, 1.00, 0.29061, 0.49268, 0.29061, 0.49268
124, 1151076, -4.69984, 3.54515, 1.43647, 0.69804, 0.69804, 0.69804, 0.00, 0.29712, 0.42566, 0.29712, 0.42566
125, 1151077, -5.23642, 1.83006, -0.43137, 0.69804, 0.69804, 0.69804, 1.00, 0.25256, 0.49352, 0.25256, 0.49352
126, 1151078, -5.31382, 4.04972, 1.19393, 0.69804, 0.69804, 0.69804, 0.00, 0.2699, 0.40241, 0.2699, 0.40241
