VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y
0, 1534794, -5.15755, 2.25895, -1.39244, 0.69804, 0.69804, 0.69804, 1.00, 0.11079, 0.40718
1, 1534795, -4.75992, 0.57653, -1.11957, 0.69804, 0.69804, 0.69804, 1.00, 0.1428, 0.55054
2, 1534796, -6.02262, -1.08224, -2.0311, 0.69804, 0.69804, 0.69804, 1.00, 0.04115, 0.69188
3, 1534797, -4.75992, 0.57653, -1.11957, 0.69804, 0.69804, 0.69804, 1.00, 0.1428, 0.55054
4, 1534798, -5.89162, -2.08427, -2.14976, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
5, 1534799, -3.78884, 1.08775, -0.55351, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
6, 1534800, -5.89162, -2.08427, -2.14976, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
7, 1534801, -4.74279, -2.21543, -1.57809, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
8, 1534802, -5.5546, -3.18316, -2.2581, 0.69804, 0.69804, 0.69804, 1.00, 0.07883, 0.8709
9, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
10, 1534803, -3.78884, 1.08775, -0.55351, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
11, 1534804, -3.29324, 0.79066, -0.29883, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
12, 1534805, -4.74279, -2.21543, -1.57809, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
13, 1534806, -3.29324, 0.79066, -0.29883, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
14, 1534807, -3.59839, -1.80944, -0.88686, 0.69804, 0.69804, 0.69804, 1.00, 0.2363, 0.75385
15, 1534808, -3.29324, 0.79066, -0.29883, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
16, 1534809, -2.98686, -2.05416, -0.67682, 0.69804, 0.69804, 0.69804, 1.00, 0.28553, 0.7747
17, 1534810, -1.74997, 0.87077, 0.37891, 0.69804, 0.69804, 0.69804, 1.00, 0.3851, 0.52547
18, 1534811, -2.98686, -2.05416, -0.67682, 0.69804, 0.69804, 0.69804, 1.00, 0.28553, 0.7747
19, 1534812, -2.1613, -2.26828, -0.41542, 0.69804, 0.69804, 0.69804, 1.00, 0.35199, 0.79294
20, 1534813, -2.6811, -2.54359, -0.71519, 0.69804, 0.69804, 0.69804, 1.00, 0.31014, 0.8164
21, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
22, 1534814, -1.74997, 0.87077, 0.37891, 0.69804, 0.69804, 0.69804, 1.00, 0.3851, 0.52547
23, 1534815, 1.52326, 2.0492, 0.85996, 0.69804, 0.69804, 0.69804, 1.00, 0.64859, 0.42506
24, 1534816, -2.1613, -2.26828, -0.41542, 0.69804, 0.69804, 0.69804, 1.00, 0.35199, 0.79294
25, 1534817, 1.52326, 2.0492, 0.85996, 0.69804, 0.69804, 0.69804, 1.00, 0.64859, 0.42506
26, 1534818, 0.17357, -2.75771, -0.03257, 0.69804, 0.69804, 0.69804, 1.00, 0.53994, 0.83465
27, 1534819, 1.52326, 2.0492, 0.85996, 0.69804, 0.69804, 0.69804, 1.00, 0.64859, 0.42506
28, 1534820, 1.48836, -3.00243, -0.07826, 0.69804, 0.69804, 0.69804, 1.00, 0.64578, 0.8555
29, 1534821, 2.86629, 2.91392, 0.60396, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
30, 1534822, 1.48836, -3.00243, -0.07826, 0.69804, 0.69804, 0.69804, 1.00, 0.64578, 0.8555
31, 1534823, 2.49738, -2.7883, -0.06575, 0.69804, 0.69804, 0.69804, 1.00, 0.72701, 0.83726
32, 1534824, 2.22219, -3.27773, -0.25673, 0.69804, 0.69804, 0.69804, 1.00, 0.70486, 0.87896
33, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
34, 1534825, 3.0593, 4.98432, 0.01804, 0.69804, 0.69804, 0.69804, 1.00, 0.77224, 0.17496
35, 1534826, 4.41863, 3.83006, 0.00591, 0.69804, 0.69804, 0.69804, 1.00, 0.88167, 0.27331
36, 1534827, 3.29163, 3.72346, 0.34918, 0.69804, 0.69804, 0.69804, 1.00, 0.79095, 0.28239
37, 1534828, 5.80968, 2.11296, -0.28486, 0.69804, 0.69804, 0.69804, 1.00, 0.99365, 0.41962
38, 1534829, 2.86629, 2.91392, 0.60396, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
39, 1534830, 5.77576, 0.92302, -0.24446, 0.69804, 0.69804, 0.69804, 1.00, 0.99092, 0.52102
40, 1534831, 2.86629, 2.91392, 0.60396, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
41, 1534832, 5.45105, -0.08864, -0.18384, 0.69804, 0.69804, 0.69804, 1.00, 0.96478, 0.60722
42, 1534833, 4.73122, -0.70309, 0.01666, 0.69804, 0.69804, 0.69804, 1.00, 0.90683, 0.65958
43, 1534834, 5.45105, -0.08864, -0.18384, 0.69804, 0.69804, 0.69804, 1.00, 0.96478, 0.60722
44, 1534835, 5.35354, -0.49261, -0.20687, 0.69804, 0.69804, 0.69804, 1.00, 0.95693, 0.64164
45, 1534836, 5.71305, -0.05122, -0.30379, 0.69804, 0.69804, 0.69804, 1.00, 0.98587, 0.60403
46, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
47, 1534837, 3.17006, -2.57418, -0.0947, 0.69804, 0.69804, 0.69804, 1.00, 0.78116, 0.81901
48, 1534838, 2.49738, -2.7883, -0.06575, 0.69804, 0.69804, 0.69804, 1.00, 0.72701, 0.83726
49, 1534839, 4.33188, -1.11695, 0.06815, 0.69804, 0.69804, 0.69804, 1.00, 0.87469, 0.69484
50, 1534840, 2.86629, 2.91392, 0.60396, 0.69804, 0.69804, 0.69804, 1.00, 0.75671, 0.35137
51, 1534841, 4.73122, -0.70309, 0.01666, 0.69804, 0.69804, 0.69804, 1.00, 0.90683, 0.65958
52, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
