VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841897,-28.71731,6.68855,-20.08713,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841898,-26.41619,5.17551,-21.90525,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841896,-29.70100,3.76961,-18.90301,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841899,-27.39988,2.25657,-20.72113,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841901,-29.45993,5.99979,-31.20120,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841902,-26.97526,6.14894,-33.36779,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841900,-29.16128,2.71540,-31.08478,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841903,-26.67660,2.86454,-33.25138,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
