VTX, IDX, gl_Position.x, gl_Position.y, gl_Position.z, gl_Position.w, gl_ClipDistance[0], gl_ClipDistance[1], VertexData.clipDist0, VertexData.clipDist1, VertexData.colors_0.x, VertexData.colors_0.y, VertexData.colors_0.z, VertexData.colors_0.w, VertexData.colors_1.x, VertexData.colors_1.y, VertexData.colors_1.z, VertexData.colors_1.w, VertexData.pos.x, VertexData.pos.y, VertexData.pos.z, VertexData.pos.w, VertexData.tex0.x, VertexData.tex0.y, VertexData.tex0.z
0, 1069541, -5.66874, -1.963, 0.09983, 48.25125, 48.15142, 0.09983, 48.15142, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -5.66874, -1.963, 0.09983, 48.25125, 0.00, 1.00, 1.00
1, 1069542, 2.62279, -1.96299, 0.09983, 48.25125, 48.15142, 0.09983, 48.15142, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 2.62279, -1.96299, 0.09983, 48.25125, 2.00, 1.00, 1.00
2, 1069540, -5.66874, -12.57616, 0.09983, 48.25125, 48.15142, 0.09983, 48.15142, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -5.66874, -12.57616, 0.09983, 48.25125, 0.00, 3.00, 1.00
3, 1069543, 2.62278, -12.57615, 0.09983, 48.25125, 48.15142, 0.09983, 48.15142, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 2.62278, -12.57615, 0.09983, 48.25125, 2.00, 3.00, 1.00
4, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
5, 1069545, -2.96268, -4.79288, 0.09983, 48.26852, 48.16869, 0.09983, 48.16869, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -2.96268, -4.79288, 0.09983, 48.26852, 0.00, 1.00, 1.00
6, 1069546, -0.08329, -4.79288, 0.09983, 48.26852, 48.16869, 0.09983, 48.16869, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -0.08329, -4.79288, 0.09983, 48.26852, 2.00, 1.00, 1.00
7, 1069544, -2.96268, -8.47851, 0.09983, 48.26852, 48.16869, 0.09983, 48.16869, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -2.96268, -8.47851, 0.09983, 48.26852, 0.00, 3.00, 1.00
8, 1069547, -0.08329, -8.47851, 0.09983, 48.26852, 48.16869, 0.09983, 48.16869, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -0.08329, -8.47851, 0.09983, 48.26852, 2.00, 3.00, 1.00
9, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
10, 1069549, -3.13164, -3.50005, 0.09983, 48.52246, 48.42263, 0.09983, 48.42263, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -3.13164, -3.50005, 0.09983, 48.52246, 0.00, 1.00, 1.00
11, 1069550, 0.08554, -3.50005, 0.09983, 48.52246, 48.42263, 0.09983, 48.42263, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.08554, -3.50005, 0.09983, 48.52246, 2.00, 1.00, 1.00
12, 1069548, -3.13164, -7.61805, 0.09983, 48.52246, 48.42263, 0.09983, 48.42263, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -3.13164, -7.61805, 0.09983, 48.52246, 0.00, 3.00, 1.00
13, 1069551, 0.08554, -7.61805, 0.09983, 48.52246, 48.42263, 0.09983, 48.42263, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.08554, -7.61805, 0.09983, 48.52246, 2.00, 3.00, 1.00
14, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
15, 1069553, -2.31981, -6.17137, 0.09983, 48.649, 48.54917, 0.09983, 48.54917, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -2.31981, -6.17137, 0.09983, 48.649, 0.00, 1.00, 1.00
16, 1069554, -0.72636, -6.17137, 0.09983, 48.649, 48.54917, 0.09983, 48.54917, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -0.72636, -6.17137, 0.09983, 48.649, 2.00, 1.00, 1.00
17, 1069552, -2.31981, -8.21099, 0.09983, 48.649, 48.54917, 0.09983, 48.54917, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -2.31981, -8.21099, 0.09983, 48.649, 0.00, 3.00, 1.00
18, 1069555, -0.72636, -8.21099, 0.09983, 48.649, 48.54918, 0.09983, 48.54918, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -0.72636, -8.21099, 0.09983, 48.649, 2.00, 3.00, 1.00
19, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
20, 1069557, -5.00324, -3.46058, 0.09983, 48.41719, 48.31737, 0.09983, 48.31737, 0.09983, 1.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, -5.00324, -3.46058, 0.09983, 48.41719, 0.00, 1.00, 1.00
